json_file,section,title,collaborator_name,filled_id_lattes,tipo_resolucao
Alessandra da Rocha Duailibe Monteiro.json,listaPB[1],Avaliação de estudos de viabilidade econômica da pirólise de plásticos,"MONTEIRO, ALESSANDRA DA ROCHA DUAILIBE",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,listaPB[2],Avaliação da eficiência do extrato de chá branco como inibidor de corrosão natural para o aço carbono,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,listaPB[3],Plastic Recycling Feasibility with the Triple-Layered Business Model Canvas,Alessandra da Rocha Duailibe Monteiro,4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,listaPB[4],Life Cycle Assessment of the Catalytic Pyrolysis of High¿Density Polyethylene (HDPE) and High¿Impact Polystyrene (HIPS),"DUAILIBE MONTEIRO, ALESSANDRA DA R.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,listaPB[5],A Numerical Procedure for Multivariate Calibration Using Heteroscedastic Principal Components Regression,"MONTEIRO, ALESSANDRA DA ROCHA DUAILIBE",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,listaPB[6],Statistical Aspects of Near-Infrared Spectroscopy for the Characterization of Errors and Model Building,"MONTEIRO, ALESSANDRA DA ROCHA DUAILIBE",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,listaPB[7],A Numerical Procedure for Multivariate Calibration Using Heteroscedastic Principal Components Regression,"MONTEIRO, ALESSANDRA DA ROCHA DUAILIBE",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,listaPB[8],Avaliação de estudos de viabilidade econômica da pirólise de plásticos,"MONTEIRO, ALESSANDRA DA ROCHA DUAILIBE",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,listaPB[9],Avaliação da eficiência do extrato de chá branco como inibidor de corrosão natural para o aço carbono,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,trabalhos_completos[1],A GESTÃO DOS RESÍDUOS SÓLIDOS URBANOS NO BRASIL: PROBLEMÁTICAS NACIONAIS E IMPLICAÇÕES A OPORTUNIDADES LOCAIS NO MUNICÍPIO DO RIO DE JANEIRO,"MONTEIRO, ALESSANDRA DA ROCHA DUAILIBE",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,trabalhos_completos[2],Página : [1] CNEG2025_CNEG_PT_064_0615_23455 A GESTÃO DOS RESÍDUOS SÓLIDOS URBANOS NO BRASIL: PROBLEMÁTICAS NACIONAIS E IMPLICAÇÕES A OPORTUNIDADES LOCAIS NO MUNICÍPIO DO RIO DE JANEIRO,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,trabalhos_completos[3],Comparison of the fretting corrosion of two commercial modular hip implants subjected to different levels of mechanical loading and cycling frequency,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,trabalhos_completos[4],Caracterização e tratamento de resíduos plásticos presentes em ambientes marinhos,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,trabalhos_completos[5],Plastic recycling feasibility with the triple layered business model canvas,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,trabalhos_completos[6],Life cycle assessment of plastic waste pyrolysis ? Review and discussion of catalyst application,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,trabalhos_completos[7],Life Cycle Assessment: A comparative study of the environmental footprints of solid and liquid shampoos,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,trabalhos_completos[8],Hidrocarbonetos Policíclicos Aromáticos em Material Particulado de Túneis,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra da Rocha Duailibe Monteiro.json,resumos_publicados[1],Hidrocarbonetos Policíclicos Aromáticos (HPAs) em partículas depositadas nas paredes de túneis do Rio de Janeiro,"MONTEIRO, A. R. D.",4706525645223041,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[1],Biodegradable thermoplastic cassava starch/poly(butylene succinate) blends with citric acid: Characterization and evaluation of properties,"DE ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[2],Biocompatibility of the Polymer Poly(Butylene Adipate- Co -Terephthalate) in the Cornea of Rabbits,"LUCAS, ALESSANDRA A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[3],Melt flow behavior in a 3D printhead based on a miniaturized co-rotating twin-screw extruder: a combined 1D-3D modeling approach,"DE ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[4],From larvae to oil: physicochemical characterization and thermo-oxidative stability of lipids extracted from Zophobas atratus,"DE ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[5],Biodegradation of Pristine and Post-Consumer Extruded Expanded Polystyrene Packaging by Zophobas atratus Larvae: Influence of the Larval Stage and Physiological Response,"LUCAS, ALESSANDRA ALMEIDA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[6],Cellulose nanocrystals from tucum fibers cultivated in Amazon Forest: extraction and characterization,"DE ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[7],Real-time monitoring of the starch cross-linking with citric acid by chemorheological analysis,"BETTINI, SÍLVIA H.P.",3687551763124327,coautor_reconhecido
Alessandra de Almeida Lucas.json,listaPB[7],Real-time monitoring of the starch cross-linking with citric acid by chemorheological analysis,"LUCAS, ALESSANDRA A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[8],Transesterification of poly(butylene adipate-co-terephthalate) (PBAT) and poly(butylene succinate) (PBS) blends: variations in some processing parameters,"DE ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[9],Microstructure and properties of thermomechanically processed chitosan citrate-based materials,"LUCAS, ALESSANDRA A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[10],Potential application of cellulose nanocrystals obtained from cultivated fibers in Amazon forest,"DE ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[11],Design and validation of an innovative 3D printer containing a co-rotating twin screw extrusion unit,"LUCAS, ALESSANDRA DE ALMEIDA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[12],Production of Thermoplastic Starch and Poly (Butylene Adipate-co-Terephthalate) films assisted by Solid-State Shear Pulverization,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[13],Melt processing of nanocomposites of cellulose nanocrystals with biobased thermoplastic polyurethane,"ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[14],Characterization of cellulose nano/microfibril reinforced polypropylene composites processed via solid-state shear pulverization,"CANTO, LEONARDO B.",7287108960864123,coautor_reconhecido
Alessandra de Almeida Lucas.json,listaPB[14],Characterization of cellulose nano/microfibril reinforced polypropylene composites processed via solid-state shear pulverization,"LUCAS, ALESSANDRA A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[15],Effect of non-modified and organically modified montmorillonite incorporation on PA6/AES/MMA-MA system,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[16],Reactive extrusion of poly (butylene succinate-co-adipate) and poly (ε-caprolactone) biodegradable blends through titanium-based transesterification catalyst,"LUCAS, ALESSANDRA DE ALMEIDA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[17],Graphitization of Lignin-Phenol-Formaldehyde Resins,"LUCAS, ALESSANDRA DE ALMEIDA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[18],Thermosetting resins for carbon-containing refractories: theoretical basis and novel insights,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[19],Role of ferrocene-derived iron species in the catalytic graphitization of novolak resins,"DE ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[20],"Rheological, mechanical, thermal, and morphological properties of blends poly(butylene adipate- co -terephthalate), thermoplastic starch, and cellulose nanoparticles","LUCAS, ALESSANDRA ALMEIDA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[21],Synthesis and graphitization of resole resins by ferrocene,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[22],PBAT/TPS-nanowhiskers blends preparation and application as food packaging,"DE ALMEIDA LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[23],Influence of the mixing process on the graphitization of phenolic resins,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[24],Composites of phenolic resin with expanded graphite and conductive carbon black,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[25],Catalytic graphitization of novolac resin for refractory applications,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[26],Structural evolution during the catalytic graphitization of a thermosetting refractory binder and oxidation resistance of the derived carbons,"LUCAS, ALESSANDRA A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[27],Nanocomposites based on renewable thermoplastic polyurethane and chemically modified cellulose nanocrystals with improved mechanical properties,"LUCAS, ALESSANDRA A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[28],POLYETHYLENE CELLULOSE NANOFIBRILS NANOCOMPOSITES,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[29],Bioactive films based on babassu mesocarp flour and starch,"LUCAS, ALESSANDRA A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[30],Graphitization of phenolic resins for carbon-based refractories,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[31],Effect of Maleic Anhydride Content in Properties of PA6/AES Blends Compatibilized with MMA-MA,"LUCAS, ALESSANDRA DE ALMEIDA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[32],Processing and characterization of conductive composites based on poly(styrene-b-ethylene-ran-butylene-b-styrene) (SEBS) and carbon additives: A comparative study of expanded graphite and carbon black,"LUCAS, ALESSANDRA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[33],"BIO-BASED NANOCOMPOSITES OBTAINED BY INCORPORATION OF CELLULOSE NANOCRYSTALS INTO BIODEGRADABLE POLYMERS THROUGH CASTING, LAYER-BY-LAYER OR ELECTROSPINNING METHODS","LUCAS, ALESSANDRA DE ALMEIDA",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[34],Abrasive wear of HDPE/UHMWPE blends,"Lucas, Alessandra de A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[35],Preparation and characterization of poly (vinyl butyral)-leather fiber composites,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[36],Wood Polymer Composites Technology Supporting the Recovery and Protection of Tropical Forests: The Amazonian Phoenix Project,"Marinelli, Alessandra L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[36],Wood Polymer Composites Technology Supporting the Recovery and Protection of Tropical Forests: The Amazonian Phoenix Project,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[37],Determination of non-isothermal crystallization rate constant for pseudo-experimental calorimetric data,"Marinelli, Alessandra Lucas",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[37],Determination of non-isothermal crystallization rate constant for pseudo-experimental calorimetric data,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[38],Optical monitoring of polypropylene crystallization during injection molding,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[39],Desenvolvimento de compósitos poliméricos com fibras vegetais naturais da biodiversidade: uma contribuição para a sustentabilidade amazônica.,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[39],Desenvolvimento de compósitos poliméricos com fibras vegetais naturais da biodiversidade: uma contribuição para a sustentabilidade amazônica.,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[40],Optical Monitoring of Polyesters Injection Molding,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,listaPB[41],EVALUATION OF THE MASTER CURVE APPROACH FOR THE,"MARINELLI, A. L.",9754332336954137,proprio_pesquisador
